H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
TIL01_435BCAAXX.bam	TIL03.bam	TIL11_FC61694AAXX.bam	679	788	-0.0743013	-0.0743013	0.03430322	-2.166015	
TIL01_435BCAAXX.bam	TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	591	664	-0.05816733	-0.05816733	0.03758514	-1.547615	
TIL03.bam	TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	920	862	0.0325477	0.0325477	0.03197532	1.017901	
TIL01_435BCAAXX.bam	TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	831	605	0.1573816	0.1573816	0.0358841	4.385832	
TIL03.bam	TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	1070	714	0.1995516	0.1995516	0.03233706	6.170988	
TIL04-TIP454.bam	TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	971	702	0.160789	0.160789	0.03276002	4.908086	
TIL01_435BCAAXX.bam	TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	610	770	-0.115942	-0.115942	0.03542738	-3.272667	
TIL03.bam	TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	696	766	-0.04787962	-0.04787962	0.034872	-1.373011	
TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	721	910	-0.1158798	-0.1158798	0.03398514	-3.40972	
TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	615	1043	-0.2581423	-0.2581423	0.03290645	-7.844735	
TIL01_435BCAAXX.bam	TIL15_FC6144GAAXX.bam	TIL11_FC61694AAXX.bam	636	827	-0.1305537	-0.1305537	0.03612887	-3.613555	
TIL03.bam	TIL15_FC6144GAAXX.bam	TIL11_FC61694AAXX.bam	833	911	-0.04472477	-0.04472477	0.03186762	-1.403455	
TIL04-TIP454.bam	TIL15_FC6144GAAXX.bam	TIL11_FC61694AAXX.bam	689	910	-0.1382114	-0.1382114	0.03370069	-4.101144	
TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	TIL11_FC61694AAXX.bam	693	1141	-0.2442748	-0.2442748	0.03152666	-7.748197	
TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	TIL11_FC61694AAXX.bam	828	849	-0.01252236	-0.01252236	0.03291542	-0.3804405	
TIL01_435BCAAXX.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	466	409	0.06514286	0.06514286	0.04229649	1.540148	
TIL03.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	534	362	0.1919643	0.1919643	0.04168682	4.604916	
TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	472	372	0.1184834	0.1184834	0.0425774	2.782777	
TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	529	550	-0.01946247	-0.01946247	0.03999743	-0.4865928	
TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	606	415	0.1870715	0.1870715	0.03963364	4.720018	
TIL15_FC6144GAAXX.bam	TIL16_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	625	407	0.2112403	0.2112403	0.03797483	5.562641	
TIL01_435BCAAXX.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	316	358	-0.06231454	-0.06231454	0.04427934	-1.407305	
TIL03.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	466	417	0.05549264	0.05549264	0.04154267	1.335799	
TIL04-TIP454.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	369	361	0.0109589	0.0109589	0.04458884	0.2457768	
