chr	XPCLR_DOM	s_DOM	EXCL	upeak_DOM	XPCLR_IMP	s_IMP	upeak_IMP	winstart	winend	genicbp	TEbp	seqbp	fst_teo_LR	fst_teo_mz	fst_LR_mz	fst_mex_mz	fst_mex_teo	fst_mex_LR	Steo	Singletonsteo	DerSingletonsteo	ThetaWteo	ThetaPiteo	ThetaHteo	TajDteo	Rminteo	SLR	SingletonsLR	DerSingletonsLR	ThetaWLR	ThetaPiLR	ThetaHLR	TajDLR	RminLR	SMZ	SingletonsMZ	DerSingletonsMZ	ThetaWMZ	ThetaPiMZ	ThetaHMZ	TajDMZ	RminMZ	S_rhoteo	rho_teo	S_rhoLR	rho_LR	S_rhoMZ	rho_MZ	div_sites	divergence	win_num	teo_LR_shared	teo_LR_fixed	teo_LR_private1	teo_LR_private2	teo_mz_shared	teo_mz_fixed	teo_mz_private1	teo_mz_private2	LR_mz_shared	LR_mz_fixed	LR_mz_private1	LR_mz_private2	mex_mz_shared	mex_mz_fixed	mex_mz_private1	mex_mz_private2	mex_teo_shared	mex_teo_fixed	mex_teo_private1	mex_teo_private2	mex_LR_shared	mex_LR_fixed	mex_LR_private1	mex_LR_private2
1	11.176309	0.001	0	NA	4.705989	0.001	NA	7460001	7470000	0	9657	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2.536254	0.001	0	NA	1.286262	0.001	NA	7470001	7480000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	5.180136	2e-04	0	NA	4.701932	5e-05	NA	7540001	7550000	0	8148	6206	0.0056905	0.031378	0.0210327	0.0118537	0.0250195	-0.00519436	401	31	4	0.017902997	0.020112311	0.0026199	0.523864	81	524	15	2	0.020596681	0.023550918	0.002953609	0.566182	104	476	53	9	0.016846439	0.020199323	0.002800935	0.7394	132	138	0.001392	226	0.000856	282	0.000308	1076	0.0371547	681	331	0	70	193	308	0	93	168	425	0	99	51	71	38	13	405	60	33	24	341	74	22	10	450
1	40.80017	0.001	0	NA	8.264437	6e-04	NA	7830001	7840000	907	6599	8071	0.152873	0.161923	0.000287584	0.00133845	-0.00445661	0.000579326	608	10	2	0.020294263	0.025377524	0.003967774	1.03608	142	590	20	7	0.016911535	0.016575146	0.003270797	-0.0744936	127	526	38	9	0.013915996	0.01699269	0.003909057	0.799067	149	282	0.000483	276	0.000195	384	8.2e-05	2314	0.0403161	708	538	0	70	52	476	0	132	50	477	0	113	49	166	0	15	360	164	0	17	444	169	0	12	421
1	41.779738	0.01	0	NA	7.683755	0.003	NA	7940001	7950000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	11.403393	0.003	0	NA	1.500758	0.001	NA	8280001	8290000	0	9766	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	3.414031	0.001	0	NA	0.375544	8e-04	NA	8570001	8580000	0	9900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6.502233	0.001	0	NA	17.623963	0.003	NA	8930001	8940000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	16.167283	0.003	0	NA	0.688195	0.001	NA	9120001	9130000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	15.694379	0.003	0	NA	0.403757	0.001	NA	9320001	9330000	0	10000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9.493395	6e-04	0	NA	5.664219	2e-04	NA	9400001	9410000	3783	4863	6729	0.0275214	0.000632115	0.00126153	-0.00537394	0.0050685	-0.00375998	465	24	8	0.018622827	0.020372567	0.005383192	0.388267	80	540	61	31	0.019050082	0.020340021	0.005986358	0.260149	108	574	19	11	0.018704117	0.023337197	0.006042666	0.919855	134	158	0.002961	231	0.00133	413	0.001768	2739	0.0324095	846	369	0	96	171	378	0	87	196	500	0	40	74	94	9	42	480	126	7	10	339	92	10	44	448
1	1.448467	0.003	0	NA	33.229073	0.003	1_39	9750001	9760000	0	9735	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2.721269	0.001	0	NA	42.307984	0.003	1_39	9760001	9770000	0	9758	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
